pair_id,lang1,lang2,link1,link2,overall,geo,ent,time,nar,style,tone
1497493206_1483751699,en,en,https://www.thenews.com.pk/print/633063-k-electric-says-no-to-charging-bills-in-installments-extends-due-dates-for-bills-bellow-rs4-000,https://www.thenews.com.pk/latest/632961-cm-sindh-announces-province-wide-lockdown-to-combat-coronavirus,4,,4,3.5,3,2,4
1484036841_1483834242,en,en,http://feedproxy.google.com/~r/businessinsider/~3/04NkWZpVhGQ/patient-thanks-medical-workers-hospital-window-note-critical-care-2020-3,https://wgno.com/news/health/coronavirus/covid-19-patient-leaves-heartwarming-message-of-thanks-on-room-window-at-ohio-clinic/,4,,4,3.5,3,2,4
1497493207_1483751690,en,en,https://www.independent.co.uk/sport/football/world/andres-iniesta-interview-barcelona-kobe-coronavirus-a9476006.html,https://www.independent.co.uk/sport/football/premier-league/jan-vertonghen-tottenham-transfer-news-serie-a-laliga-a9479921.html,4,,4,3.5,3,2,4
1484036842_1483834243,en,en,https://in-cyprus.philenews.com/cyprus-on-right-road-as-new-covid-19-cases-drop-to-15/,https://dailypost.ng/2020/04/18/ncdc-gives-fresh-update-on-states-with-covid-19-number-of-confirmed-cases/,4,,4,3.5,3,2,4
1497493208_1483751711,en,en,https://www.upr.org/post/head-national-guard-says-tens-thousands-could-be-called,https://www.wyff4.com/article/army-corps-of-engineers-aims-to-convert-buildings-into-hospitals-in-three-or-four-weeks/31832265,4,,4,3.5,3,2,4
1484036843_1483834244,en,en,https://www.urdupoint.com/en/world/toyota-extends-plant-closures-in-north-americ-887897.html,https://nationalpost.com/pmn/health-pmn/toyota-extends-shutdown-of-north-american-plants-through-april-17,4,,4,3.5,3,2,4
1497493209_1483751712,en,en,http://famagusta-gazette.com/2020/03/24/uk-introduces-stricter-measures-to-fight-covid-19/,http://www.theuknews.com/news/264409391/uk-bracing-for-strict-lockdown-to-be-enforced-by-police,4,,4,3.5,3,2,4
1484036844_1483834245,en,en,https://www.newsday.com/news/health/coronavirus-new-york-city-1.41468258,https://www.theepochtimes.com/new-york-city-reports-2-additional-suspected-cases-of-coronavirus_3229463.html,4,,4,3.5,3,2,4
1497493210_1483751713,en,en,https://www.thehindu.com/sci-tech/health/help-is-at-hand-as-cases-of-anxiety-stemming-out-of-covid-19-increase-in-coimbatore/article31297834.ece,https://www.marca.com/en/football/spanish-football/2020/03/18/5e72353c268e3e7c1d8b4577.html,4,,4,3.5,3,2,4
1484036850_1483834246,en,en,https://www.weyburnreview.com/news/local-news/weyburn-to-defer-interest-on-property-taxes-1.24125499,http://www.discoverweyburn.com/local/covid-19-having-impacts-in-community,4,,4,3.5,3,2,4
1497493211_1483751714,en,en,https://www.taipeitimes.com/News/world/archives/2020/04/08/2003734220,https://www.rttnews.com/story.aspx?Id=3084000,4,,4,3.5,3,2,4
1484036851_1483834247,en,en,https://www.hindustantimes.com/chandigarh/all-with-flu-symptoms-to-be-tested-for-covid-19-in-chandigarh/story-CgvVkBg2NQg9KND5bDpHUO.html,https://zeenews.india.com/india/icmr-study-points-towards-possible-community-transmission-of-coronavirus-covid-19-in-india-2275178.html,4,,4,3.5,3,2,4
1497493212_1483751715,en,en,https://news.yahoo.com/cheerful-masks-help-battle-coronavirus-bulgaria-191939965.html,http://jamaica-gleaner.com/article/letters/20200330/time-temporary-lockdown,4,,4,3.5,3,2,4
1484036852_1483834248,en,en,https://www.iol.co.za/business-report/companies/demand-for-online-services-drives-naspers-shares-higher-45880370,http://www.beijingnews.net/news/264886172/sa-stocks-are-on-track-for-a-record-month,4,,4,3.5,3,2,4
1497493213_1483751716,en,en,http://www.seychellesnewsagency.com/articles/12800/Seychelles+Bankers+Association+offering+assistance+with+loan+payments+during+COVID-,https://sbc.sc/news/8-ways-people-in-seychelles-are-dealing-with-stay-at-home-orders/,4,,4,3.5,3,2,4
1484036853_1483834249,en,en,https://fox2now.com/news/coronavirus/how-long-does-coronavirus-live-on-certain-surfaces/,http://www.canindia.com/novel-coronavirus-stable-for-hours-on-surfaces-study/,4,,4,3.5,3,2,4
1497493214_1483751717,en,en,https://www.worcesternews.co.uk/news/18313511.curry-house-worcester-improves-one-star-five-food-hygiene-rating/?ref=rss,https://www.ghanamma.com/2020/03/21/video-of-a-man-beating-his-girlfriend-mercilessly-goes-viral/,4,,4,3.5,3,2,4
1484036854_1483834250,en,en,https://www.townsvillebulletin.com.au/real-estate/queensland/coronavirus-survey-fears-house-values-could-fall-after-record-drop-in-confidence/news-story/dadcd5cc41b26563d5b48cfa335ad625,https://www.couriermail.com.au/news/national/states-lifting-coronavirus-restrictions-are-small-mercies/video/1b4c85ec859109357480a04521ff41c0,4,,4,3.5,3,2,4
